,company,title
0,Holcim,SQL Developer
1,Medscape,Data Analyst
2,Medscape,Data Analyst
3,GM Infotech,Data Analyst - SQL/Azure
4,Medscape,Data Analyst
5,Onclusive,Media Insights Analyst
6,Medscape,Data Analyst
7,Medscape,Data Analyst
8,Satori Group,Interesting Job Opportunity: Data Analyst - SSRS/SQL Server
9,Gametion Technologies Pvt. Ltd.,Gametion - Data Analyst - Python/SQL
10,Dataseers Technologies,Data Analyst
11,YOGITA STAFFING SOLUTION,Data Analyst Urgent Recruitment
12,HERE Technologies,GIS Data Engineer II
13,Morningstar,Database Engineer
14,Global Solutions..,"hiring for data entry analyst work, (data entry position)"
15,KAVYA INTERPRISES,Vacancy For Data Analyst
16,NuMantra Technologies Inc.,Interesting Job Opportunity: Numantra Technologies - Data Engineer - Python/PySpark/Azure Databricks/ADF
17,Global Solutions..,hiring for data entry analyst work
18,HERE Technologies,GIS Data Engineer II
19,Momentum Metropolitan Services,Google Analytics Specialist
20,ixia solutions llp,SQL Developer
21,Kiya.ai,Report Developer
22,Morningstar,Data Engineer
23,Morningstar,Data Quality Assurance Analyst
24,V-Tech Data Outsourcing,Data Engineer
25,Medpace,SAS Programmer
26,KAVYA INTERPRISES,Data Analyst Recruitment
27,herba technologies,Database Developer
28,Trupoint IT and Consulting LLC,CSE
29,Luna Technologies Pvt. Ltd.,Application Engineer
30,Konnect Insights,Junior Software Developer
31,Morningstar,"Data Content Specialist, Fixed Income"
32,XL Dynamics India Pvt. Ltd.,AI Engineer at XL dynamics India Pvt Ltd (Pan India)
33,Snapmint,Interesting Job Opportunity: Snapmint - PHP Engineer - Shopify/WooCommerce
34,SS&C Technologies,Associate Manager - Data Engineer( Java Developer)
35,GM Infotech,ETL Developer - SSIS
36,Snapmint,Snapmint - PHP Engineer - Shopify/WooCommerce
37,Dataseers Technologies,Sr. SQL Developer
38,KAVYA INTERPRISES,Hiring For Data Engineer
39,GeBBS Healthcare Solutions,GeBBS Healthcare Solutions - SQL Developer - Data Warehousing
40,CIEL HR,Oracle Apex
41,Sulzer,Software Engineer
42,Eazo Logistics Technology Pvt Ltd,AWS Database developer
43,Macropace Technologies,Finacle Developer - CRM Modules
44,Talent Corner HR Services Pvt Ltd,ZOHO developer
45,YOGITA STAFFING SOLUTION,Vacancy For Data Scientist Fresher and Experience
46,ideaForge,Application engineer
47,GM Infotech,ETL Developer
48,Morningstar,Infrastructure Engineer
49,Vaishnavi Services,System Engineer
